instance,profile,run,iteration,total_iterations,cost,k,optimal_cost,optimal_k,elapsed,routes
A-n45-k7,NN,4,3119,7955,1651.1410815349436,7,1146.0,7,36.49234390258789,"[[0, 22, 30, 36, 31, 37, 0], [0, 2, 27, 44, 14, 33, 24, 0], [0, 7, 16, 38, 8, 9, 29, 41, 19, 43, 0], [0, 32, 42, 1, 23, 25, 17, 0], [0, 13, 18, 40, 11, 3, 6, 39, 12, 0], [0, 34, 35, 10, 15, 20, 0], [0, 28, 26, 4, 21, 5, 0]]"
A-n45-k7,NN,4,3872,7955,1632.6636385015906,7,1146.0,7,46.13075494766235,"[[0, 39, 10, 2, 18, 26, 12, 13, 7, 0], [0, 6, 28, 27, 41, 29, 31, 5, 0], [0, 35, 21, 44, 33, 4, 0], [0, 34, 24, 43, 3, 0], [0, 23, 42, 15, 37, 22, 0], [0, 9, 11, 19, 14, 8, 38, 16, 20, 40, 0], [0, 17, 25, 1, 30, 36, 32, 0]]"
A-n45-k7,NN,4,5582,7955,1604.2452111249768,7,1146.0,7,67.95593357086182,"[[0, 12, 24, 21, 37, 1, 15, 0], [0, 13, 14, 33, 5, 20, 7, 18, 0], [0, 40, 28, 6, 32, 35, 34, 2, 0], [0, 26, 39, 9, 8, 42, 30, 22, 0], [0, 4, 3, 11, 43, 41, 36, 0], [0, 19, 29, 31, 27, 44, 0], [0, 16, 17, 38, 10, 23, 25, 0]]"
A-n45-k7,NN,4,6728,7955,1592.9041188237854,7,1146.0,7,82.56770753860474,"[[0, 44, 33, 11, 3, 28, 0], [0, 21, 6, 4, 34, 35, 26, 0], [0, 9, 20, 7, 18, 40, 24, 0], [0, 12, 39, 13, 32, 42, 1, 37, 5, 0], [0, 2, 17, 10, 14, 23, 25, 15, 0], [0, 27, 29, 19, 22, 0], [0, 16, 38, 8, 31, 36, 41, 43, 30, 0]]"
A-n45-k7,AS,0,0,7955,1364.5547527248582,7,1146.0,7,0.016769886016845703,"[[0, 25, 15, 42, 23, 17, 20, 0], [0, 34, 26, 4, 6, 35, 13, 0], [0, 12, 2, 39, 32, 18, 7, 16, 38, 8, 9, 0], [0, 21, 24, 14, 44, 33, 5, 0], [0, 40, 10, 22, 30, 36, 0], [0, 28, 3, 11, 43, 41, 27, 0], [0, 29, 19, 31, 1, 37, 0]]"
A-n45-k7,AS,0,1,7955,1345.4904046610482,7,1146.0,7,0.032608985900878906,"[[0, 36, 31, 19, 22, 5, 14, 0], [0, 35, 34, 26, 21, 39, 13, 18, 7, 0], [0, 2, 4, 6, 28, 3, 11, 43, 0], [0, 12, 9, 8, 38, 20, 16, 40, 32, 0], [0, 15, 25, 23, 42, 10, 0], [0, 17, 37, 1, 30, 33, 0], [0, 27, 29, 41, 44, 24, 0]]"
A-n45-k7,AS,0,2,7955,1308.6134218918105,7,1146.0,7,0.04817056655883789,"[[0, 14, 33, 44, 11, 3, 28, 0], [0, 39, 26, 34, 21, 4, 2, 12, 0], [0, 13, 18, 7, 16, 20, 38, 8, 9, 32, 0], [0, 35, 43, 41, 27, 29, 0], [0, 40, 42, 25, 15, 23, 17, 0], [0, 6, 24, 19, 31, 36, 30, 0], [0, 37, 1, 10, 22, 5, 0]]"
A-n45-k7,AS,0,5,7955,1294.997119884825,7,1146.0,7,0.09457778930664062,"[[0, 15, 25, 42, 1, 37, 30, 0], [0, 35, 32, 13, 18, 7, 16, 20, 38, 8, 0], [0, 39, 34, 26, 21, 6, 4, 2, 12, 0], [0, 40, 9, 24, 44, 33, 0], [0, 28, 3, 11, 43, 41, 27, 0], [0, 17, 23, 10, 22, 5, 0], [0, 14, 31, 36, 29, 19, 0]]"
A-n45-k7,AS,0,13,7955,1293.2057858106996,7,1146.0,7,0.1879875659942627,"[[0, 5, 22, 10, 15, 25, 42, 0], [0, 39, 34, 26, 21, 4, 2, 12, 0], [0, 35, 32, 13, 18, 7, 16, 20, 38, 8, 0], [0, 27, 41, 43, 11, 3, 28, 6, 0], [0, 40, 9, 24, 44, 33, 0], [0, 17, 23, 37, 1, 30, 0], [0, 14, 31, 36, 29, 19, 0]]"
A-n45-k7,AS,0,14,7955,1277.8836786115849,7,1146.0,7,0.19992637634277344,"[[0, 22, 5, 30, 37, 1, 42, 0], [0, 8, 38, 20, 16, 7, 18, 13, 32, 35, 21, 0], [0, 4, 26, 34, 39, 2, 12, 0], [0, 40, 9, 24, 44, 33, 0], [0, 6, 28, 3, 11, 43, 41, 27, 0], [0, 14, 31, 36, 29, 19, 0], [0, 17, 23, 25, 15, 10, 0]]"
